章节,作业,发布时间,习题内容
第八章,作业3,2026/6/3 16:08,8.6（1）（4）；8.11；8.15；8.18（1）（3）（5）；8.21
第八章,作业2,2026/5/27 17:29,8.8（1）（3）；8.9（1）（2）；8.10；8.11；8.12（1）（2）
第八章,作业1,2026/5/25 21:30,8.1（3）（4）（6）；8.2（2）（3）；8.3（3）（4）（6）；8.4；8.5
第七章,作业2,2026/5/20 16:14,7.18（1）（3）（7）；7.21；7.27；7.29
第七章,作业1,2026/5/18 16:33,7.2 3），4）；7.5（1）（3）（5）；7.8；7.13（a）（c）；7.17（2）（4）
第四章,作业,2026/5/13 16:39,4.3，4.4，4.7；4.10
第三章,作业2,2026/5/13 16:31,3.11；3.12；3.16；3.20；3.21: 1，3，5；
第三章,作业1,2026/4/29 16:07,3.6，3.7，3.9，3.10
第二章,作业2,2026/4/27 16:13,2.17；2.21 a、d；2.23；2.26；2.27
第二章,作业1,2026/4/22 16:18,2.4：（1）（3）；2.5：（1）；2.7：（1）（3）（5）；2.8：（a）（f）；2.9(a) (f)；2.16：（1）（3）（5）
第一章,作业习题2,2026/4/20 18:07,1.8：（2）（4）；1.10；1.11：（2）、（3）
第一章,作业习题1,2026/4/13 16:26,1.2（b）（c）（f）；1.3（1）（3）（4）；1.7；
